vehicle_id,round,bid_price,assigned,sbs_id,task_deadline_ms,total_delay_ms,satisfaction_score
0,3,44267.08138030437,True,22,2216.553582505838,908.5678147421322,0.2604922986757582
1,3,125243.0773062199,True,23,1658.959708492893,814.5826632281526,0.2604922986757582
2,3,44718.70345408206,True,20,1968.650863963788,1538.7298702790258,0.2604922986757582
3,3,78526.57850868712,True,11,1580.3944491004916,1081.2063136201973,0.2604922986757582
4,3,31326.372093086746,True,20,1571.5324166877483,885.3928069702406,0.2604922986757582
5,3,76798.18991669314,True,22,1940.8835806593684,976.1349743619529,0.2604922986757582
6,3,48967.443291894175,True,14,581.6876775514384,1037.6157015573262,0.2604922986757582
7,3,115958.04450130185,True,20,1947.1892263055688,581.5438544660819,0.2604922986757582
8,3,96031.50910546446,True,14,712.016670755453,1524.1933336504171,0.2604922986757582
9,3,108587.22549311639,True,19,1358.6289951049998,1487.7624213282197,0.2604922986757582
10,3,117179.67493040254,True,1,701.9173679830519,816.9102605550501,0.2604922986757582
11,3,32475.947819745707,False,-1,2196.3840084310605,1501.9432392290041,0.2604922986757582
12,3,71682.95064633235,True,3,2700.3789959086344,1425.3852922934511,0.2604922986757582
13,3,67791.45409578146,True,13,545.9343240189767,1298.2792707935275,0.2604922986757582
14,3,129677.68773094405,True,18,2710.4179382024827,972.7066336238994,0.2604922986757582
15,3,70243.18763376676,True,14,2331.2339019031488,521.1719190339728,0.2604922986757582
16,3,126240.01391646072,True,23,2718.6499467905887,525.7721274181192,0.2604922986757582
17,3,101591.2055296995,True,9,998.838713424869,1256.5052904182737,0.2604922986757582
18,3,95984.69963697807,True,16,1525.679914017848,1344.5727691487045,0.2604922986757582
19,3,127896.80353525277,True,14,2799.6750519662605,1268.1182243705184,0.2604922986757582
20,3,100298.41876449592,True,10,1845.3777365441715,1332.3730296060467,0.2604922986757582
21,3,87003.8913879709,True,18,2073.192365008463,506.6891231015685,0.2604922986757582
22,3,69111.78507601834,True,2,1507.0293776382791,528.3558853520676,0.2604922986757582
23,3,67021.17786374374,True,18,1997.2183642828493,718.7744210137282,0.2604922986757582
24,3,108845.26390422155,True,9,1898.6982390190972,771.1240615567506,0.2604922986757582
25,3,80630.65082930608,True,5,2943.908499190659,1272.8683996903248,0.2604922986757582
26,3,92529.27418533749,True,19,2188.5843049468695,1061.3482468319426,0.2604922986757582
27,3,50124.43818743896,True,12,663.4100981037859,1206.2801608228988,0.2604922986757582
28,3,58829.00905414066,True,12,1852.1260843633565,1437.5230431285167,0.2604922986757582
29,3,116117.98858260787,True,9,1824.2131274859057,834.2467967035269,0.2604922986757582
30,3,120365.4832109268,True,19,767.5084168972667,1026.36689442915,0.2604922986757582
31,3,62858.820415364156,True,6,1625.605581713541,693.342156201538,0.2604922986757582
32,3,108339.5746479095,True,2,2214.5563713589368,1266.415770763518,0.2604922986757582
33,3,128534.03698579219,True,17,2176.894276710763,1214.230683493674,0.2604922986757582
34,3,53045.33953506266,True,8,2564.060020950828,1470.9946157970774,0.2604922986757582
35,3,100629.75165227304,True,18,569.8041790465761,902.2458906573556,0.2604922986757582
36,3,79615.99060148245,True,9,2548.3223232195805,1196.1054791801696,0.2604922986757582
37,3,74241.47403750013,True,8,1793.8467810818454,1382.7364932243138,0.2604922986757582
38,3,51031.73418538443,True,11,1565.1702234154218,1633.4834333872514,0.2604922986757582
39,3,117545.99326604289,True,17,2722.2809093072947,1408.5650081306655,0.2604922986757582
40,3,109466.8537353594,True,21,1166.0877336706255,898.720504816035,0.2604922986757582
41,3,61613.65582965448,True,12,1268.5667717291271,1543.0988669103783,0.2604922986757582
42,3,91798.62432800478,True,8,2931.6537504916328,801.6475525596425,0.2604922986757582
43,3,110923.68074477736,True,19,798.82298830543,692.3710241163585,0.2604922986757582
44,3,94749.53861116017,True,2,2789.4961756739926,1635.192163385537,0.2604922986757582
45,3,94730.60021090369,True,18,1926.5847232442416,1072.415592275983,0.2604922986757582
46,3,115663.75646137937,True,11,2230.50978481956,799.6541596487041,0.2604922986757582
47,3,64456.79528488356,True,1,2168.347379696857,765.6255222103607,0.2604922986757582
48,3,91236.39452273358,True,18,680.7050693915063,979.8112486077068,0.2604922986757582
49,3,109795.24894555306,True,9,1759.824154039136,1198.0005649294962,0.2604922986757582
50,3,56434.04395283277,True,7,2702.643947413067,981.9484808552764,0.2604922986757582
51,3,43600.07138150109,True,19,2750.765000239301,1612.8908752821715,0.2604922986757582
52,3,60063.276800263804,True,17,1597.193601087077,533.4300847577181,0.2604922986757582
53,3,56744.47794058302,True,12,735.9595052130453,955.7559703582476,0.2604922986757582
54,3,128373.70755968124,True,2,1530.1695283685053,1594.1058997037085,0.2604922986757582
55,3,122104.45049508069,True,0,2827.222124392717,810.6785324292173,0.2604922986757582
56,3,111908.26391385541,True,21,936.6177690824658,1270.9025017123113,0.2604922986757582
57,3,26308.975198322765,True,0,1876.5203642980036,477.9755567112314,0.2604922986757582
58,3,81639.0281492542,True,3,2637.6181388029627,1623.3490643790592,0.2604922986757582
59,3,90537.64378939112,True,13,1317.9065486745262,477.03098025635444,0.2604922986757582
60,3,90618.8573937288,True,1,2766.5602663623845,980.6797114838791,0.2604922986757582
61,3,101335.45979603683,True,15,750.9380922170335,1632.3944041604523,0.2604922986757582
62,3,78677.7554418888,True,0,2868.7701305047467,1536.5837605551055,0.2604922986757582
63,3,94263.88946425282,True,5,1063.7257997383658,1339.510900126964,0.2604922986757582
64,3,42567.61533802517,True,23,2322.7584748690997,712.0196274040869,0.2604922986757582
65,3,78375.97909625458,True,19,2065.553332311144,1589.7332475912208,0.2604922986757582
66,3,86323.57277699225,True,17,866.8311794286519,1634.5631376709694,0.2604922986757582
67,3,71971.69557729487,True,9,2174.9730904523285,1065.1853883640365,0.2604922986757582
68,3,110795.39928559055,True,20,2210.572806158093,745.9102727866401,0.2604922986757582
69,3,67163.604453552,True,7,2272.7053292118226,788.4935541122142,0.2604922986757582
70,3,126311.37887889585,True,6,1146.681004592543,963.4459878783362,0.2604922986757582
71,3,129832.4154972338,True,9,1950.6172772473808,1258.1158928957695,0.2604922986757582
72,3,82258.28250425814,True,2,1807.413612596409,1032.460785678775,0.2604922986757582
73,3,110774.24988410543,True,19,1993.145427739849,869.1400201306247,0.2604922986757582
74,3,124314.99654567108,True,9,2642.8178633556395,730.9263297570358,0.2604922986757582
75,3,91463.26536046913,True,17,2862.2077929168568,1303.1880124227903,0.2604922986757582
76,3,97405.18189060432,True,18,1442.7549093043724,941.7131675234418,0.2604922986757582
77,3,72775.81091319157,True,1,1332.7666267176874,1168.9578683055963,0.2604922986757582
78,3,79016.03616439208,True,12,1827.5389025455595,717.0512652235589,0.2604922986757582
79,3,48238.44933387092,True,18,602.3355570141055,1092.6719751411017,0.2604922986757582
80,3,123275.63374179979,True,15,2234.275078719098,785.2210016974541,0.2604922986757582
81,3,100146.03043862447,True,4,799.2901276471066,506.0055451056114,0.2604922986757582
82,3,47349.48871761644,True,7,1876.2081439831873,899.58243248257,0.2604922986757582
83,3,110068.14108641984,True,16,2016.4120966426847,789.3306978284448,0.2604922986757582
84,3,113188.35731984091,True,8,1937.0329137704202,1509.2638194066326,0.2604922986757582
85,3,68030.54030929081,True,7,1951.688373104242,725.0993819600606,0.2604922986757582
86,3,40905.21231168201,True,11,2147.8972390670315,1296.6799227002068,0.2604922986757582
87,3,105428.05789982772,True,22,1292.8013795976408,1300.5086757122087,0.2604922986757582
